Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Emmetsburg,140,4.6,0.348,0.43200000000000005,480.0
Emporia,586,10.1,0.32899999999999996,0.424,1983.0
Encinitas,572,4.95,0.36,0.417,881.5
Englewood,488,6.0,0.27,0.47,1891.0
Euclid,10,3.3,,0.5379999999999999,27.0
Eugene,1115,7.5,0.369,0.41300000000000003,1428.5
Eustis,341,3.7,0.0555,0.4395,377.5
Evanston,879,3.3,0.159,0.39499999999999996,811.5
Evansville,1418,7.35,0.322,0.42900000000000005,2082.0
Everett,2,0.0,0.0,0.0,0.0
Fairfax,130,1.9333333333333336,0.22,0.3726666666666667,48.0
Fall River,70,3.2,0.32799999999999996,0.336,73.0
Falls County,197,2.0,0.0,0.485,496.0
Fanwood,41,2.0,,0.485,43.0
Fayetteville,225,3.7,0.0,0.42200000000000004,674.0
Fishers,140,12.9,0.324,0.44,311.0
Flint,2823,5.249999999999999,0.2276923076923077,0.40157142857142863,607.2142857142857
Floral Park,134,4.4,,0.44,464.0
Flushing,269,3.5,0.23,0.502,1166.0
Fond du Lac,179,4.8,0.353,0.38799999999999996,243.0
Fordyce,42,4.1,0.16699999999999998,0.32899999999999996,49.0
Fort Lauderdale,993,11.3,0.285,0.36750000000000005,1905.5
Fort Madison,507,2.6,0.20600000000000002,0.456,1060.0
Fort Pierce,233,6.4,0.0,0.48,1341.0
Fort Rucker,363,9.0,0.262,0.506,1745.0
Fort Smith,904,8.4,0.161,0.4543333333333333,1240.0
Fort Walton,687,5.3,0.0,0.48,2243.0
Fort Washington,1130,7.5,0.28400000000000003,0.44,1741.5
Fort Wayne,1430,7.3,0.22233333333333336,0.466,2471.6666666666665
Fort Worth,2345,6.34,0.256,0.4162,1830.4
Fountain Valley,6,3.0,,0.5,17.0
Franklin,169,4.4,0.324,0.45899999999999996,144.0
Frederick,139,3.4,0.196,0.40700000000000003,377.0
Fredericksburg,456,6.3,0.111,0.48100000000000004,1296.0
Freehold,481,6.8,0.318,0.485,1911.0
Freeport,425,2.7,,0.479,2367.0
French Camp,680,4.9,0.37200000000000005,0.45,685.0
Fresno,1439,5.7,0.2826666666666667,0.44960000000000006,1005.8
Friendswood,530,3.7,0.305,0.375,647.0
Ft. Lauderdale,728,7.0,0.349,0.41600000000000004,964.0
Fulda,8,2.0,,0.318,12.0
Fullerton,644,9.8,0.1805,0.4575,2006.5
