Player Name,Years Played,Birth City,Birth State,Birth Country,Playing City,Seasons Played,Games Played,Minutes Played,Field Goals %,3 Points %,Total Rebounds,Total Points
Carrick Felix,1,Las Vegas,Arizona,USA,Cleveland,1,7,38,0.5,0.4,6,2.7
Nick Johnson,1,Tempe,Arizona,USA,Houston,1,28,262,0.347,0.238,39,2.6
Perry Moss,2,Tucson,Arizona,USA,Golden State,1,136,1710,0.415,0.174,210,3.9
Larry Owens,2,Mesa,Arizona, ,,1,19,218,0.442,0.444,28,2.8
Bernard Thompson,5,Phoenix,Arizona,USA,Houston,4,204,2935,0.439,0,352,5.3
James Anderson,5,El Dorado,Arkansas,USA,Sacramento,5,247,4320,0.411,0.321,560,5.8
Ron Brewer,8,Fort Smith,Arkansas,USA,Cleveland,7,501,12892,0.459,0.248,971,11.9
Marcus Brown,2,West Memphis,Arkansas,USA,,1,27,229,0.381,0.333,22,3.4
Michael Cage,15,West Memphis,Arkansas,USA,,14,1140,29716,0.515,0,8646,7.3
Cory Carr,1,Fordyce,Arkansas,USA,Chicago,0,42,624,0.329,0.167,49,4.1
Joe Barry Carroll,10,Pine Bluff,Arkansas,USA,Phoenix,9,705,22838,0.474,0,5404,17.7
Jeremy Evans,6,Crossett,Arkansas,USA,Atlanta,6,249,2621,0.568,0.231,640,3.5
Derek Fisher,18,Little Rock,Arkansas,USA,Oklahoma City,17,1287,32719,0.399,0.374,2658,8.3
Myron Jackson,1,Hamburg,Arkansas,USA,Dallas,0,8,22,0.222,,3,1.4
Lee Johnson,1,Plummerville,Arkansas,USA,Detroit,0,12,90,0.28,,22,1.4
Charles Jones,15,McGehee,Arkansas,USA,Houston,14,726,14095,0.48,0,3253,2.5
Fred Jones,7,Malvern,Arkansas,USA,Los Angeles,7,430,10299,0.411,0.353,958,7.5
Major Jones,6,McGhee,Arkansas,USA,Detroit,5,374,5063,0.49,0.111,1323,4.4
Andrew Lang,12,Pine Bluff,Arkansas,USA,New York,11,737,15344,0.47,0.25,3511,6
Keith Lee,3,West Memphis,Arkansas,USA,New Jersey,2,182,2907,0.451,0.167,861,6.1
Quincy Lewis,4,Little Rock,Arkansas,USA,,3,159,1853,0.397,0.333,210,3.6
Brian Martin,1,Fort Smith,Arkansas,USA,Seattle,0,8,21,0.429,,4,0.8
Jeff Martin,2,Cherry Valley,Arkansas,USA,Los Angeles,1,143,2685,0.417,0.282,290,6.7
Jim Mcelroy,7,Cotton Plant,Arkansas,USA,Atlanta,6,418,10178,0.468,0.206,820,9.9
